samplename	Run	sample_accession	experiment_accession	study_accession	group	layout
Hfq-Flag_Iron_Limitation_CL_Repeat1	ERR1025350	SAMEA3554113	ERX1104222	PRJEB10931	Hfq-Flag_Iron_Limitation_CL	PE
Hfq-Flag_Iron_Limitation_CL_Repeat2	ERR1025351	SAMEA3554114	ERX1104223	PRJEB10931	Hfq-Flag_Iron_Limitation_CL	PE
Hfq-Flag_Iron_Limitation_CL_Repeat3	ERR1025352	SAMEA3554115	ERX1104224	PRJEB10931	Hfq-Flag_Iron_Limitation_CL	PE
Hfq-Flag_Iron_Limitation_NoCL_Repeat1	ERR1025353	SAMEA3554116	ERX1104225	PRJEB10931	Hfq-Flag_Iron_Limitation_NoCL	PE
Hfq-Flag_Iron_Limitation_NoCL_Repeat2	ERR1025354	SAMEA3554117	ERX1104226	PRJEB10931	Hfq-Flag_Iron_Limitation_NoCL	PE
Hfq-Flag_Iron_Limitation_NoCL_Repeat3	ERR1025355	SAMEA3554118	ERX1104227	PRJEB10931	Hfq-Flag_Iron_Limitation_NoCL	PE
Hfq-Flag_Log_Phase_CL_Repeat1	ERR1025356	SAMEA3554119	ERX1104228	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_CL_Repeat2	ERR1025357	SAMEA3554120	ERX1104229	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_CL_Repeat3	ERR1025358	SAMEA3554121	ERX1104230	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_CL_Repeat4	ERR1025359	SAMEA3554122	ERX1104231	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_CL_Repeat5	ERR1025360	SAMEA3554123	ERX1104232	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_CL_Repeat6	ERR1025361	SAMEA3554124	ERX1104233	PRJEB10931	Hfq-Flag_Log_Phase_CL	PE
Hfq-Flag_Log_Phase_NoCL_Repeat1	ERR1025362	SAMEA3554125	ERX1104234	PRJEB10931	Hfq-Flag_Log_Phase_NoCL	PE
Hfq-Flag_Log_Phase_NoCL_Repeat2	ERR1025363	SAMEA3554126	ERX1104235	PRJEB10931	Hfq-Flag_Log_Phase_NoCL	PE
Hfq-Flag_Log_Phase_NoCL_Repeat3	ERR1025364	SAMEA3554127	ERX1104236	PRJEB10931	Hfq-Flag_Log_Phase_NoCL	PE
Hfq-Flag_Stationary_Phase_CL_Repeat1	ERR1025365	SAMEA3554128	ERX1104237	PRJEB10931	Hfq-Flag_Stationary_Phase_CL	PE
Hfq-Flag_Stationary_Phase_CL_Repeat2	ERR1025366	SAMEA3554129	ERX1104238	PRJEB10931	Hfq-Flag_Stationary_Phase_CL	PE
Hfq-Flag_Stationary_Phase_CL_Repeat3	ERR1025367	SAMEA3554130	ERX1104239	PRJEB10931	Hfq-Flag_Stationary_Phase_CL	PE
Hfq-Flag_Stationary_Phase_NoCL_Repeat1	ERR1025368	SAMEA3554131	ERX1104240	PRJEB10931	Hfq-Flag_Stationary_Phase_NoCL	PE
Hfq-Flag_Stationary_Phase_NoCL_Repeat2	ERR1025369	SAMEA3554132	ERX1104241	PRJEB10931	Hfq-Flag_Stationary_Phase_NoCL	PE
Hfq-Flag_Stationary_Phase_NoCL_Repeat3	ERR1025370	SAMEA3554133	ERX1104242	PRJEB10931	Hfq-Flag_Stationary_Phase_NoCL	PE
Hfq-Flag_Yeast_CL_Repeat1	ERR1025346	SAMEA3554109	ERX1104218	PRJEB10931	Hfq-Flag_Yeast_CL	PE
Hfq-Flag_Yeast_CL_Repeat2	ERR1025347	SAMEA3554110	ERX1104219	PRJEB10931	Hfq-Flag_Yeast_CL	PE
Hfq-Flag_Yeast_NoCL_Repeat1	ERR1025348	SAMEA3554111	ERX1104220	PRJEB10931	Hfq-Flag_Yeast_NoCL	PE
Hfq-Flag_Yeast_NoCL_Repeat2	ERR1025349	SAMEA3554112	ERX1104221	PRJEB10931	Hfq-Flag_Yeast_NoCL	PE
Hfq-wt_Iron_Limitation_CL_Repeat1	ERR1547231	SAMEA4355108	ERX1618001	PRJEB10931	Hfq-wt_Iron_Limitation_CL	PE
Hfq-wt_Iron_Limitation_CL_Repeat2	ERR1547232	SAMEA4355109	ERX1618002	PRJEB10931	Hfq-wt_Iron_Limitation_CL	PE
Hfq-wt_Log_Phase_CL_Repeat1	ERR1025371	SAMEA3554134	ERX1104243	PRJEB10931	Hfq-wt_Log_Phase_CL	PE
Hfq-wt_Log_Phase_CL_Repeat2	ERR1547227	SAMEA4355104	ERX1617997	PRJEB10931	Hfq-wt_Log_Phase_CL	PE
Hfq-wt_Log_Phase_CL_Repeat3	ERR1547228	SAMEA4355105	ERX1617998	PRJEB10931	Hfq-wt_Log_Phase_CL	PE
Hfq-wt_Log_Phase_NoCL_Repeat1	ERR1025372	SAMEA3554135	ERX1104244	PRJEB10931	Hfq-wt_Log_Phase_NoCL	PE
Hfq-wt_Stationary_Phase_CL_Repeat1	ERR1025373	SAMEA3554136	ERX1104245	PRJEB10931	Hfq-wt_Stationary_Phase_CL	PE
Hfq-wt_Stationary_Phase_CL_Repeat2	ERR1547229	SAMEA4355106	ERX1617999	PRJEB10931	Hfq-wt_Stationary_Phase_CL	PE
Hfq-wt_Stationary_Phase_CL_Repeat3	ERR1547230	SAMEA4355107	ERX1618000	PRJEB10931	Hfq-wt_Stationary_Phase_CL	PE

