samplename	source_name	group	Run	BioProject	BioSample	Experiment	GEO_Accession (exp)	Sample Name	SRA Study	growth	replicate	layout	Assay Type
MG1655_LB-1	MG1655	MG1655_LB	SRR9096025	PRJNA543880	SAMN11787918	SRX5871019	GSM3785104	GSM3785104	SRP198991	LB	1	PE	OTHER
MG1655_LB-2	MG1655	MG1655_LB	SRR9096031	PRJNA543880	SAMN11787974	SRX5871025	GSM3785110	GSM3785110	SRP198991	LB	2	PE	OTHER
MG1655_M63-1	MG1655	MG1655_M63	SRR9096028	PRJNA543880	SAMN11787914	SRX5871022	GSM3785107	GSM3785107	SRP198991	M63	1	PE	OTHER
MG1655_M63-2	MG1655	MG1655_M63	SRR9096034	PRJNA543880	SAMN11787969	SRX5871028	GSM3785113	GSM3785113	SRP198991	M63	2	PE	OTHER
MG1655_subLB-1	MG1655	MG1655_subLB	SRR9096049	PRJNA543880	SAMN11787948	SRX5871045	GSM3785128	GSM3785128	SRP198991	subLB	1	PE	OTHER
MG1655_subLB-2	MG1655	MG1655_subLB	SRR9096050	PRJNA543880	SAMN11787947	SRX5871046	GSM3785129	GSM3785129	SRP198991	subLB	2	PE	OTHER
MG1655_hfq-FLAG_LB-1	MG1655_hfq-FLAG	MG1655_hfq-FLAG_LB	SRR9096027	PRJNA543880	SAMN11787915	SRX5871021	GSM3785106	GSM3785106	SRP198991	LB	1	PE	OTHER
MG1655_hfq-FLAG_LB-2	MG1655_hfq-FLAG	MG1655_hfq-FLAG_LB	SRR9096033	PRJNA543880	SAMN11787971	SRX5871027	GSM3785112	GSM3785112	SRP198991	LB	2	PE	OTHER
MG1655_hfq-FLAG_M63-1	MG1655_hfq-FLAG	MG1655_hfq-FLAG_M63	SRR9096030	PRJNA543880	SAMN11787911	SRX5871024	GSM3785109	GSM3785109	SRP198991	M63	1	PE	OTHER
MG1655_hfq-FLAG_M63-2	MG1655_hfq-FLAG	MG1655_hfq-FLAG_M63	SRR9096036	PRJNA543880	SAMN11787966	SRX5871030	GSM3785115	GSM3785115	SRP198991	M63	2	PE	OTHER
MG1655_hfq-FLAG_subLB-1	MG1655_hfq-FLAG	MG1655_hfq-FLAG_subLB	SRR9096051	PRJNA543880	SAMN11787946	SRX5871047	GSM3785130	GSM3785130	SRP198991	subLB	1	PE	OTHER
MG1655_hfq-FLAG_subLB-2	MG1655_hfq-FLAG	MG1655_hfq-FLAG_subLB	SRR9096052	PRJNA543880	SAMN11787944	SRX5871048	GSM3785131	GSM3785131	SRP198991	subLB	2	PE	OTHER
MG1655_hfq-FLAG_proQ::kan_subLB-1	MG1655_hfq-FLAG_proQ::kan	MG1655_hfq-FLAG_proQ::kan_subLB	SRR9096055	PRJNA543880	SAMN11788360	SRX5871051	GSM3785134	GSM3785134	SRP198991	subLB	1	PE	OTHER
MG1655_hfq-FLAG_proQ::kan_subLB-2	MG1655_hfq-FLAG_proQ::kan	MG1655_hfq-FLAG_proQ::kan_subLB	SRR9096056	PRJNA543880	SAMN11788359	SRX5871052	GSM3785135	GSM3785135	SRP198991	subLB	2	PE	OTHER
MG1655_proQ-3XFLAG_LB-1	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_LB	SRR9096026	PRJNA543880	SAMN11787917	SRX5871020	GSM3785105	GSM3785105	SRP198991	LB	1	PE	OTHER
MG1655_proQ-3XFLAG_LB-2	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_LB	SRR9096032	PRJNA543880	SAMN11787972	SRX5871026	GSM3785111	GSM3785111	SRP198991	LB	2	PE	OTHER
MG1655_proQ-3XFLAG_M63-1	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_M63	SRR9096029	PRJNA543880	SAMN11787913	SRX5871023	GSM3785108	GSM3785108	SRP198991	M63	1	PE	OTHER
MG1655_proQ-3XFLAG_M63-2	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_M63	SRR9096035	PRJNA543880	SAMN11787968	SRX5871029	GSM3785114	GSM3785114	SRP198991	M63	2	PE	OTHER
MG1655_proQ-3XFLAG_subLB-1	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_subLB	SRR9096053	PRJNA543880	SAMN11787943	SRX5871049	GSM3785132	GSM3785132	SRP198991	subLB	1	PE	OTHER
MG1655_proQ-3XFLAG_subLB-2	MG1655_proQ-3XFLAG	MG1655_proQ-3XFLAG_subLB	SRR9096054	PRJNA543880	SAMN11787941	SRX5871050	GSM3785133	GSM3785133	SRP198991	subLB	2	PE	OTHER
MG1655_proQ-3XFLAG_hfq::cat_subLB-1	MG1655_proQ-3XFLAG_hfq::cat	MG1655_proQ-3XFLAG_hfq::cat_subLB	SRR9096057	PRJNA543880	SAMN11788358	SRX5871053	GSM3785136	GSM3785136	SRP198991	subLB	1	PE	OTHER
MG1655_proQ-3XFLAG_hfq::cat_subLB-2	MG1655_proQ-3XFLAG_hfq::cat	MG1655_proQ-3XFLAG_hfq::cat_subLB	SRR9096058	PRJNA543880	SAMN11788357	SRX5871054	GSM3785137	GSM3785137	SRP198991	subLB	2	PE	OTHER
